date,ticker,close,from_high_pct,ma_pct_diff,market_state,any_signal
2026-04-24,QQQ,651.42,-0.56,7.36,整理,0
2026-04-24,0050,86.35,0.0,13.08,多頭,0
2026-04-24,QQQ,651.42,-0.56,7.36,整理,0
2026-04-24,0050,86.35,0.0,13.08,多頭,0
2026-04-24,QQQ,651.42,-0.56,7.36,整理,0
2026-04-24,0050,86.35,0.0,13.08,多頭,0
2026-04-25,QQQ,663.88,0.0,9.31,整理,0
2026-04-25,0050,86.35,0.0,12.67,多頭,0
2026-04-26,QQQ,663.88,0.0,9.31,整理,0
2026-04-26,0050,89.95,0.0,16.89,多頭,0
2026-05-04,QQQ,674.15,0.0,10.31,多頭,0
2026-05-04,0050,90.5,-2.69,15.59,多頭,0
2026-05-04,QQQ,674.15,0.0,10.31,多頭,0
2026-05-04,0050,90.5,-2.69,15.59,多頭,0
2026-05-07,QQQ,695.77,0.0,13.13,多頭,0
2026-05-07,0050,94.6,0.0,19.69,多頭,0
2026-05-08,QQQ,694.94,-0.12,12.74,多頭,0
2026-05-08,0050,95.75,0.0,20.57,多頭,0
2026-05-12,QQQ,713.29,0.0,15.06,多頭,0
2026-05-12,0050,96.9,-0.82,20.22,多頭,0
2026-05-15,QQQ,719.79,0.0,15.07,多頭,0
2026-05-15,0050,95.5,-2.25,17.32,多頭,0
